concept,prerequisites,context
positive data,"data set, labeled data",machine learning
positive training example,"data set, labeled data, positive data, training data, training data set",machine learning
test data set,"data set, input data, learning problem, machine learning, test data",machine learning
training data set,"data set, input data, labeled data, learning problem, machine learning, training data",machine learning
support vector,"decision boundaries, feature space, feature vector, positive data",machine learning
gradient checking,"derivative term, gradient descent, learning method, local minimum, local optima, optimization algorithms",machine learning
optimization algorithms,"derivative term, global optimum, linear algebra, local minimum, local optima, matrix, optimization problem, parameter vector, partial derivative",machine learning
partial derivative,"derivative term, linear algebra, local minimum, local optima, matrix",machine learning
early stopping,"machine learning, regularization, training error, validation error, overfitting",machine learning
estimated parameters,"loss function, model parameters",machine learning
regression coefficients,"estimated parameters, feature vector, model parameters, regression model",machine learning
precision,"evaluation metrics, negative example, positive class, positive data, positive predictions, predicted class, predicted value, test data, test data set",machine learning
recall,"evaluation metrics, labeled data, negative example, positive class, positive data, positive predictions, predicted class, predicted value, test data, test data set",machine learning
evaluation metrics,"test data, test data set",machine learning
expectation maximization,"iterative algorithm, learning method, loss function, matrix factorization, matrix, unsupervised learning",machine learning
nonlinear hypotheses,"feature space, feature vector, hypothesis",machine learning
svm optimization,"feature space, feature vector, global minimum, inner product, learning method, learning problem, local optima, machine learning, machine learning system, matrix, optimization problem, parameter vector, positive class, support vector, support vector machine",machine learning
gaussian kernel,"feature vector, kernel function, machine learning, support vector, support vector machine",machine learning
hidden layer,"feature vector, hidden unit, input layer, input units, machine learning, neural network, sigmoid function",machine learning
input layer,"feature vector, input units, neural network, training data, training data set",machine learning
kernel function,"feature vector, inner product, linear kernel, machine learning, support vector machine",machine learning
linear kernel,"feature vector, linear classifier, support vector, support vector machine",machine learning
output layer,"feature vector, neural network, output unit, parameter vector",machine learning
parameter estimation,"feature vector, linear algebra, matrix",machine learning
polynomial kernel,"feature vector, inner product, kernel function, support vector, support vector machine, svm packages",machine learning
square projection error,"feature vector, linear algebra, matrix, square distances, square matrix",machine learning
kernel regression,"gaussian kernel, input space, learning method, linear regression, machine learning, machine learning algorithm, optimization algorithms, optimization problem, regression model, training data set",machine learning
gaussian random variable,"random numbers, random variable",machine learning
generalization error,"hypothesis, loss function, machine learning, parameter vector, prediction error, test data, test data set, test error, training data, training data set, training error",machine learning
global minimum,global optimum,machine learning
optimization objective,"global minimum, local optima, optimization problem, parameter vector, partial derivative",machine learning
optimization problem,"global minimum, inner product, partial derivative",machine learning
hidden unit,"input units, logistic function, neural network, parameter vector",machine learning
high order polynomial,polynomial terms,machine learning
hypothesis,"learning problem, machine learning, machine learning algorithm",machine learning
identity matrics,"linear algebra, matrix",machine learning
matrix multiplication,"identity matrics, linear algebra, matrix vector multiplication, matrix, vector multiplication",machine learning
matrix transpose,"identity matrics, linear algebra, matrix, square matrix",machine learning
mean square error,"identity matrics, least squares",machine learning
least squares,"inner product, matrix",machine learning
inner product,"linear algebra, vector multiplication",machine learning
normalized representation,inner product,machine learning
squared error,"inner product, least squares, polynomial terms",machine learning
test data,"input data, learning problem, machine learning",machine learning
training data,"input data, labeled data, learning problem, machine learning",machine learning
input units,"neural network, training data, training data set",machine learning
k nearest neighbors,"nearest neighbor search, nearest neighbors",machine learning
string kernel,"kernel function, support vector, support vector machine",machine learning
l1 penalty,"partial derivative, regularization",machine learning
model parameters,learning method,machine learning
nearest neighbor search,"learning method, learning problem, machine learning, machine learning algorithm, nearest neighbors, unsupervised learning",machine learning
machine learning application,"learning problem, machine learning, machine learning system",machine learning
svm packages,"learning system, machine learning, machine learning system, matrix, parameter vector, support vector, support vector machine",machine learning
standard least squares,"least squares, squared error",machine learning
log likelihood,likelihood function,machine learning
matrix factorization,"linear algebra, matrix",machine learning
matrix vector multiplication,"linear algebra, matrix, vector multiplication",machine learning
square matrix,"linear algebra, matrix",machine learning
symmetric matrix,"linear algebra, matrix",machine learning
vector multiplication,linear algebra,machine learning
local minimum,local optima,machine learning
loss function,"local minimum, local optima, machine learning, machine learning algorithm, model parameters, optimization objective, optimization problem, parameter vector",machine learning
logistic function,loss function,machine learning
low rank matrix,matrix,machine learning
matrix addition,matrix,machine learning
minimization problem,"optimal solution, optimization problem",machine learning
tuning parameter,"model parameters, optimization objective",machine learning
output unit,"neural network, parameter vector",machine learning
standard deviation,"matrix, random numbers, random variable",machine learning
optimal solution,"optimization algorithms, optimization objective, optimization problem, parameter vector",machine learning
positive class,positive data,machine learning
predicted class,test data set,machine learning
predicted value,"test data, test data set",machine learning
prediction error,"test data, test data set",machine learning
prior probability,random variable,machine learning
probability density,random variable,machine learning
random variable,random numbers,machine learning
square distances,square matrix,machine learning
